sys/id,sys/name,language,model_name,params/learning_rate,params/sample_ratio,params/random_seed,val_f1score,val_accuracy,test_f1score,test_accuracy
SEA-300,SEA-300,Arabic,multilingual_bert_Arabic,5e-05,16.0,2018.0,0.35322794159328036,0.4214162348877375,0.3590822835917312,0.4317789291882556
SEA-299,SEA-299,Arabic,multilingual_bert_Arabic,3e-05,16.0,2022.0,0.446231944478505,0.46113989637305697,0.4310224859005347,0.4438687392055268
SEA-298,SEA-298,Arabic,multilingual_bert_Arabic,3e-05,16.0,2021.0,0.47422905088808975,0.5250431778929189,0.44467453003122587,0.5086355785837651
SEA-297,SEA-297,Arabic,multilingual_bert_Arabic,3e-05,16.0,2020.0,0.5769623690676322,0.6096718480138169,0.5586327157565507,0.5975820379965457
SEA-296,SEA-296,Arabic,multilingual_bert_Arabic,3e-05,16.0,2019.0,0.5678251536013028,0.5820379965457686,0.6083948123837041,0.6252158894645942
SEA-295,SEA-295,Arabic,multilingual_bert_Arabic,3e-05,16.0,2018.0,0.4067326435747488,0.43350604490500866,0.38575199615529315,0.4119170984455959
SEA-294,SEA-294,Arabic,multilingual_bert_Arabic,3e-05,16.0,2022.0,0.3745066142069887,0.5561312607944733,0.3657128842380641,0.5371329879101899
SEA-293,SEA-293,Arabic,multilingual_bert_Arabic,3e-05,16.0,2021.0,0.5688342261404309,0.5716753022452504,0.5673336808516408,0.5716753022452504
SEA-292,SEA-292,Arabic,multilingual_bert_Arabic,3e-05,16.0,2020.0,0.4837362766855864,0.6079447322970639,0.4506124389380187,0.5777202072538861
SEA-291,SEA-291,Arabic,multilingual_bert_Arabic,3e-05,16.0,2019.0,0.4149782703084358,0.5699481865284974,0.3991479282814546,0.5535405872193437
SEA-290,SEA-290,Arabic,multilingual_bert_Arabic,3e-05,16.0,2018.0,0.5917082066869301,0.5993091537132987,0.5249965566371102,0.5293609671848014
SEA-289,SEA-289,Arabic,multilingual_bert_Arabic,2e-05,16.0,2022.0,0.4421149973898128,0.4421416234887737,0.41366125278933674,0.41450777202072536
SEA-288,SEA-288,Arabic,multilingual_bert_Arabic,2e-05,16.0,2021.0,0.46402487835892436,0.5146804835924007,0.44479772286821706,0.5077720207253886
SEA-287,SEA-287,Arabic,multilingual_bert_Arabic,2e-05,16.0,2020.0,0.572538860103627,0.6200345423143351,0.5378807690609536,0.5941278065630398
SEA-286,SEA-286,Arabic,multilingual_bert_Arabic,2e-05,16.0,2019.0,0.5726689377556183,0.6044905008635578,0.5825457874709294,0.6191709844559585
SEA-285,SEA-285,Arabic,multilingual_bert_Arabic,2e-05,16.0,2018.0,0.4031442185251024,0.4421416234887737,0.38677701674277015,0.4231433506044905
SEA-284,SEA-284,Arabic,multilingual_bert_Arabic,2e-05,16.0,2022.0,0.3974156851834678,0.47668393782383417,0.39598512704483796,0.4758203799654577
